------------------------------------|---------|----------|---------|---------|-------------------
File                                | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
------------------------------------|---------|----------|---------|---------|-------------------
All files                           |   21.62 |     22.5 |   10.98 |   20.27 |                   
 src                                |       0 |        0 |       0 |       0 |                   
  app.module.ts                     |       0 |      100 |       0 |       0 | 1-39              
  main.ts                           |       0 |        0 |       0 |       0 | 1-26              
 src/common/auth                    |   15.94 |    10.71 |       0 |   12.06 |                   
  auth.guard.ts                     |       0 |        0 |       0 |       0 | 1-41              
  auth.module.ts                    |       0 |      100 |       0 |       0 | 1-46              
  current-user.decorator.ts         |       0 |        0 |       0 |       0 | 1-10              
  internal-token.service.ts         |       0 |        0 |       0 |       0 | 1-14              
  internal.guard.ts                 |       0 |        0 |       0 |       0 | 1-8               
  token-validator.ts                |     100 |      100 |     100 |     100 |                   
  user-jwt.service.ts               |     100 |      100 |     100 |     100 |                   
  user-token.service.ts             |   71.42 |       50 |       0 |      60 | 7-10              
 src/common/auth/strategies         |   42.85 |       75 |       0 |   33.33 |                   
  internal-jwt.validator.ts         |       0 |      100 |       0 |       0 | 2-10              
  user-jwt.validator.ts             |   66.66 |       75 |       0 |   57.14 | 7-12              
 src/common/cache                   |       0 |        0 |       0 |       0 |                   
  cache.module.ts                   |       0 |      100 |     100 |       0 | 1-12              
  cache.service.ts                  |       0 |        0 |       0 |       0 | 1-47              
 src/common/decorators              |       0 |        0 |       0 |       0 |                   
  cacheable.decorator.ts            |       0 |        0 |       0 |       0 | 1-12              
  paginated.decorator.ts            |       0 |      100 |       0 |       0 | 1-4               
  skip-response-wrap.decorator.ts   |       0 |      100 |       0 |       0 | 1-4               
 src/common/filters                 |       0 |        0 |       0 |       0 |                   
  prisma-client-exception.filter.ts |       0 |        0 |       0 |       0 | 1-72              
 src/common/interceptors            |       0 |        0 |       0 |       0 |                   
  cacheable.interceptor.ts          |       0 |        0 |       0 |       0 | 1-63              
  logging.interceptor.ts            |       0 |        0 |       0 |       0 | 1-50              
  response.interceptor.ts           |       0 |        0 |       0 |       0 | 1-51              
 src/common/mail                    |       0 |        0 |       0 |       0 |                   
  mail.constants.ts                 |       0 |      100 |     100 |       0 | 1                 
  mail.module.ts                    |       0 |      100 |     100 |       0 | 1-13              
  mail.processor.ts                 |       0 |        0 |       0 |       0 | 1-64              
  mail.service.ts                   |       0 |        0 |       0 |       0 | 1-43              
 src/common/pagination              |       0 |      100 |       0 |       0 |                   
  pagination.dto.ts                 |       0 |      100 |       0 |       0 | 1-14              
  pagination.type.ts                |       0 |      100 |       0 |       0 | 2-38              
 src/config                         |       0 |      100 |     100 |       0 |                   
  env-vars.schema.ts                |       0 |      100 |     100 |       0 | 1-3               
 src/integrations/bullmq            |       0 |      100 |       0 |       0 |                   
  bullmq.module.ts                  |       0 |      100 |       0 |       0 | 1-23              
 src/integrations/graphql           |       0 |        0 |       0 |       0 |                   
  graphql.module.ts                 |       0 |        0 |       0 |       0 | 1-28              
 src/integrations/prisma            |      50 |       75 |       0 |      50 |                   
  prisma.module.ts                  |       0 |      100 |     100 |       0 | 1-8               
  prisma.service.ts                 |   77.77 |       75 |       0 |   71.42 | 10-13             
 src/integrations/redis             |       0 |        0 |       0 |       0 |                   
  redis.health.ts                   |       0 |        0 |       0 |       0 | 1-18              
  redis.module.ts                   |       0 |      100 |     100 |       0 | 1-8               
  redis.service.ts                  |       0 |        0 |       0 |       0 | 1-26              
 src/modules/auth                   |       0 |      100 |     100 |       0 |                   
  auth.module.ts                    |       0 |      100 |     100 |       0 | 1-18              
 src/modules/auth/graphql           |   86.95 |       75 |   57.14 |   85.71 |                   
  auth.resolver.ts                  |   86.95 |       75 |   57.14 |   85.71 | 18,32,42          
 src/modules/auth/graphql/inputs    |     100 |      100 |     100 |     100 |                   
  login.input.ts                    |     100 |      100 |     100 |     100 |                   
  register.input.ts                 |     100 |      100 |     100 |     100 |                   
 src/modules/auth/graphql/types     |   85.71 |      100 |       0 |      80 |                   
  auth-token.type.ts                |     100 |      100 |     100 |     100 |                   
  user-info.type.ts                 |   77.77 |      100 |       0 |   71.42 | 5,11              
 src/modules/auth/use-cases         |     100 |    80.76 |     100 |     100 |                   
  login.use-case.ts                 |     100 |    83.33 |     100 |     100 | 10                
  register.use-case.ts              |     100 |       80 |     100 |     100 | 10                
  validate-token.use-case.ts        |     100 |       75 |     100 |     100 | 7                 
 src/modules/health                 |       0 |        0 |       0 |       0 |                   
  health.controller.ts              |       0 |        0 |       0 |       0 | 1-10              
  health.module.ts                  |       0 |      100 |     100 |       0 | 1-9               
------------------------------------|---------|----------|---------|---------|-------------------
